huspacy dep (converted) == emagyar dep,huspacy head == emagyar head,huspacy dep ud,huspacy dep converted,huspacy head,emagyar dep,emagyar head,huspacy token,emagyar token
False,False,|(cc)|,|COORD|,|köszöntik|,|CONJ|,|felállnak|,|és|,|és|
False,False,|(conj)|,|CONJ|,|felállnak|,|COORD|,|és|,|köszöntik|,|köszöntik|
False,False,|(advmod:tlocy)|,|TLOCY|,|foglal|,|ATT|,|elnök|,|Amikor|,|Amikor|
False,False,|(advcl)|,|ATT|,|leülnek|,|ROOT|,|foglal|,|foglal|,|foglal|
False,False,|(cc)|,|COORD|,|leülnek|,|MODE|,|lévők|,|is|,|is|
False,False,|(ROOT)|,|ROOT|,|leülnek|,|COORD|,|foglal|,|leülnek|,|leülnek.|
False,False,|(ROOT)|,|ROOT|,|Tisztelt|,|ATT|,|Képviselőtársaim|,|Tisztelt|,|Tisztelt|
False,False,|(nsubj)|,|SUBJ|,|Tisztelt|,|ROOT|,|Képviselőtársaim|,|Képviselőtársaim|,|Képviselőtársaim|
False,False,|(mark)|,|DEP|,|lesznek|,|CONJ|,|Tájékoztatom|,|hogy|,|hogy|
False,False,|(nmod:att)|,|ATT|,|urak|,|NE|,|Lajos|,|Szűcs|,|Szűcs|
False,False,|(flat:name)|,|NE|,|Szűcs|,|ATT|,|urak|,|Lajos|,|Lajos|
False,False,|(cc)|,|COORD|,|Hiszékeny|,|CONJ|,|Lajos|,|és|,|és|
False,False,|(conj)|,|CONJ|,|Szűcs|,|ATT|,|Dezső|,|Hiszékeny|,|Hiszékeny|
False,False,|(flat:name)|,|NE|,|Hiszékeny|,|COORD|,|és|,|Dezső|,|Dezső|
False,False,|(ROOT)|,|ROOT|,|Tisztelt|,|ATT|,|Ház|,|Tisztelt|,|Tisztelt|
False,False,|(nsubj)|,|SUBJ|,|Tisztelt|,|ROOT|,|Ház|,|Ház|,|Ház|
False,False,|(mark)|,|DEP|,|foglaltak|,|CONJ|,|Tájékoztatom|,|hogy|,|hogy|
False,False,|(appos)|,|MODE|,|§|,|ATT|,|bekezdésében|,|1|,|1)|
False,False,|(conj)|,|CONJ|,|Tájékoztatom|,|ATT|,|hogy|,|kezdeményezte|,|kezdeményezte|
False,False,|(cc)|,|COORD|,| |,|CONJ|,|20-a|,|és|,|és|
False,False,|(nmod:att)|,|ATT|,| |,|COORD|,|és|,|24e|,|24e|
False,False,|(ROOT)|,|ROOT|,|levelet|,|OBJ|,|megismerhették|,|levelet|,|levelet|
False,False,|(cc)|,|COORD|,|mellékletét|,|CONJ|,|levelet|,|és|,|és|
False,False,|(conj)|,|CONJ|,|levelet|,|COORD|,|és|,|mellékletét|,|mellékletét|
False,False,|(cc)|,|COORD|,|indítványát|,|CONJ|,|mellékletét|,|valamint|,|valamint|
False,False,|(conj)|,|CONJ|,|levelet|,|COORD|,|valamint|,|indítványát|,|indítványát|
False,False,|(acl)|,|ATT|,|indítványát|,|ROOT|,|megismerhették|,|megismerhették|,|megismerhették|
