huspacy dep (converted) == emagyar dep,huspacy head == emagyar head,huspacy dep ud,huspacy dep converted,huspacy head,emagyar dep,emagyar head,huspacy token,emagyar token
True,True,|(ROOT)|,|ROOT|,|ELNÖK|,|ROOT|,|ELNÖK|,|ELNÖK|,|ELNÖK|
True,False,|(punct)|,|PUNCT|,|felállnak|,|PUNCT|,|ELNÖK|,|:|,|:|
True,True,|(punct)|,|PUNCT|,|felállnak|,|PUNCT|,|felállnak|,|(|,|(|
True,True,|(det)|,|DET|,|teremben|,|DET|,|teremben|,|A|,|A|
True,True,|(obl)|,|OBL|,|lévők|,|OBL|,|lévők|,|teremben|,|teremben|
True,True,|(nsubj)|,|SUBJ|,|felállnak|,|SUBJ|,|felállnak|,|lévők|,|lévők|
False,True,|(parataxis)|,|DEP|,|ELNÖK|,|ATT|,|ELNÖK|,|felállnak|,|felállnak|
True,False,|(punct)|,|PUNCT|,|köszöntik|,|PUNCT|,|felállnak|,"|,|","|,|"
False,False,|(cc)|,|COORD|,|köszöntik|,|CONJ|,|felállnak|,|és|,|és|
True,True,|(obl)|,|OBL|,|köszöntik|,|OBL|,|köszöntik|,|ezzel|,|ezzel|
False,False,|(conj)|,|CONJ|,|felállnak|,|COORD|,|és|,|köszöntik|,|köszöntik|
True,True,|(det)|,|DET|,|választópolgárok|,|DET|,|választópolgárok|,|a|,|a|
True,True,|(nmod:att)|,|ATT|,|közösségét|,|ATT|,|közösségét|,|választópolgárok|,|választópolgárok|
True,True,|(obj)|,|OBJ|,|köszöntik|,|OBJ|,|köszöntik|,|közösségét|,|közösségét|
True,False,|(punct)|,|PUNCT|,|ELNÖK|,|PUNCT|,|.|,|.|,|.|
False,False,|(advmod:tlocy)|,|TLOCY|,|foglal|,|ATT|,|elnök|,|Amikor|,|Amikor|
True,True,|(det)|,|DET|,|ülést|,|DET|,|ülést|,|az|,|az|
True,True,|(obj)|,|OBJ|,|vezető|,|OBJ|,|vezető|,|ülést|,|ülést|
True,True,|(amod:att)|,|ATT|,|elnök|,|ATT|,|elnök|,|vezető|,|vezető|
True,True,|(nsubj)|,|SUBJ|,|foglal|,|SUBJ|,|foglal|,|elnök|,|elnök|
True,True,|(obj)|,|OBJ|,|foglal|,|OBJ|,|foglal|,|helyet|,|helyet|
False,False,|(advcl)|,|ATT|,|leülnek|,|ROOT|,|foglal|,|foglal|,|foglal|
True,True,|(punct)|,|PUNCT|,|foglal|,|PUNCT|,|foglal|,"|,|","|,|"
True,True,|(det)|,|DET|,|teremben|,|DET|,|teremben|,|a|,|a|
True,True,|(obl)|,|OBL|,|lévők|,|OBL|,|lévők|,|teremben|,|teremben|
