huspacy dep (converted) == emagyar dep,huspacy head == emagyar head,huspacy dep ud,huspacy dep converted,huspacy head,emagyar dep,emagyar head,huspacy token,emagyar token
True,False,|(punct)|,|PUNCT|,|felállnak|,|PUNCT|,|ELNÖK|,|:|,|:|
True,False,|(punct)|,|PUNCT|,|köszöntik|,|PUNCT|,|felállnak|,"|,|","|,|"
False,False,|(cc)|,|COORD|,|köszöntik|,|CONJ|,|felállnak|,|és|,|és|
False,False,|(conj)|,|CONJ|,|felállnak|,|COORD|,|és|,|köszöntik|,|köszöntik|
True,False,|(punct)|,|PUNCT|,|ELNÖK|,|PUNCT|,|.|,|.|,|.|
False,False,|(advmod:tlocy)|,|TLOCY|,|foglal|,|ATT|,|elnök|,|Amikor|,|Amikor|
False,False,|(advcl)|,|ATT|,|leülnek|,|ROOT|,|foglal|,|foglal|,|foglal|
True,False,|(nsubj)|,|SUBJ|,|leülnek|,|SUBJ|,|leülnek.|,|lévők|,|lévők|
False,False,|(cc)|,|COORD|,|leülnek|,|MODE|,|lévők|,|is|,|is|
False,False,|(ROOT)|,|ROOT|,|leülnek|,|COORD|,|foglal|,|leülnek|,|leülnek.|
False,False,|(ROOT)|,|ROOT|,|Tisztelt|,|ATT|,|Képviselőtársaim|,|Tisztelt|,|Tisztelt|
False,False,|(nsubj)|,|SUBJ|,|Tisztelt|,|ROOT|,|Képviselőtársaim|,|Képviselőtársaim|,|Képviselőtársaim|
True,False,|(punct)|,|PUNCT|,|Tisztelt|,|PUNCT|,|!|,|!|,|!|
True,False,|(punct)|,|PUNCT|,|megnyitom|,|PUNCT|,|.|,|.|,|.|
True,False,|(punct)|,|PUNCT|,|lesznek|,|PUNCT|,|Tájékoztatom|,"|,|","|,|"
False,False,|(mark)|,|DEP|,|lesznek|,|CONJ|,|Tájékoztatom|,|hogy|,|hogy|
False,False,|(nmod:att)|,|ATT|,|urak|,|NE|,|Lajos|,|Szűcs|,|Szűcs|
False,False,|(flat:name)|,|NE|,|Szűcs|,|ATT|,|urak|,|Lajos|,|Lajos|
False,False,|(cc)|,|COORD|,|Hiszékeny|,|CONJ|,|Lajos|,|és|,|és|
False,False,|(conj)|,|CONJ|,|Szűcs|,|ATT|,|Dezső|,|Hiszékeny|,|Hiszékeny|
False,False,|(flat:name)|,|NE|,|Hiszékeny|,|COORD|,|és|,|Dezső|,|Dezső|
True,False,|(advcl)|,|ATT|,|Tájékoztatom|,|ATT|,|hogy|,|lesznek|,|lesznek|
True,False,|(punct)|,|PUNCT|,|Tájékoztatom|,|PUNCT|,|.|,|.|,|.|
True,False,|(punct)|,|PUNCT|,|kíséri|,|PUNCT|,|Köszöntök|,"|,|","|,|"
True,False,|(acl)|,|ATT|,|mindenkit|,|ATT|,|Köszöntök|,|kíséri|,|kíséri|
True,False,|(punct)|,|PUNCT|,|Köszöntök|,|PUNCT|,|.|,|.|,|.|
False,False,|(ROOT)|,|ROOT|,|Tisztelt|,|ATT|,|Ház|,|Tisztelt|,|Tisztelt|
False,False,|(nsubj)|,|SUBJ|,|Tisztelt|,|ROOT|,|Ház|,|Ház|,|Ház|
True,False,|(punct)|,|PUNCT|,|Tisztelt|,|PUNCT|,|!|,|!|,|!|
True,False,|(punct)|,|PUNCT|,|foglaltak|,|PUNCT|,|Tájékoztatom|,"|,|","|,|"
False,False,|(mark)|,|DEP|,|foglaltak|,|CONJ|,|Tájékoztatom|,|hogy|,|hogy|
True,False,|(nsubj)|,|SUBJ|,|foglaltak|,|SUBJ|,|kezdeményezte|,|kormány|,|kormány|
True,False,|(nmod:att)|,|ATT|,| |,|ATT|,|§|,|törvény|,|törvény|
True,False,|(amod:att)|,|ATT|,| |,|ATT|,|§|,|35.|,|35.|
True,False,|(nmod:att)|,|ATT|,|bekezdésében|,|ATT|,|alapján|,|§|,|§|
True,False,|(punct)|,|PUNCT|,|1|,|PUNCT|,|alapján|,|(|,|(|
False,False,|(appos)|,|MODE|,|§|,|ATT|,|bekezdésében|,|1|,|1)|
True,False,|(advcl)|,|ATT|,|Tájékoztatom|,|ATT|,|alapján|,|foglaltak|,|foglaltak|
True,False,|(obl)|,|OBL|,|foglaltak|,|OBL|,|kezdeményezte|,|alapján|,|alapján|
False,False,|(conj)|,|CONJ|,|Tájékoztatom|,|ATT|,|hogy|,|kezdeményezte|,|kezdeményezte|
True,False,|(nmod:att)|,|ATT|,|közötti|,|ATT|,|20-a|,|2022.|,|2022.|
False,False,|(cc)|,|COORD|,| |,|CONJ|,|20-a|,|és|,|és|
False,False,|(nmod:att)|,|ATT|,| |,|COORD|,|és|,|24e|,|24e|
True,False,|(punct)|,|PUNCT|,|Tájékoztatom|,|PUNCT|,|.|,|.|,|.|
False,False,|(ROOT)|,|ROOT|,|levelet|,|OBJ|,|megismerhették|,|levelet|,|levelet|
False,False,|(cc)|,|COORD|,|mellékletét|,|CONJ|,|levelet|,|és|,|és|
False,False,|(conj)|,|CONJ|,|levelet|,|COORD|,|és|,|mellékletét|,|mellékletét|
True,False,|(punct)|,|PUNCT|,|indítványát|,|PUNCT|,|mellékletét|,"|,|","|,|"
False,False,|(cc)|,|COORD|,|indítványát|,|CONJ|,|mellékletét|,|valamint|,|valamint|
False,False,|(conj)|,|CONJ|,|levelet|,|COORD|,|valamint|,|indítványát|,|indítványát|
True,False,|(obl)|,|OBL|,|megismerhették|,|OBL|,|vonatkozóan|,|kiegészítésére|,|kiegészítésére|
False,False,|(acl)|,|ATT|,|indítványát|,|ROOT|,|megismerhették|,|megismerhették|,|megismerhették|
True,False,|(punct)|,|PUNCT|,|levelet|,|PUNCT|,|.|,|.|,|.|
False,False,|(ROOT)|,|ROOT|,|Tisztelt|,|ATT|,|Országgyűlés|,|Tisztelt|,|Tisztelt|
False,False,|(nsubj)|,|SUBJ|,|Tisztelt|,|ROOT|,|Országgyűlés|,|Országgyűlés|,|Országgyűlés|
True,False,|(punct)|,|PUNCT|,|Tisztelt|,|PUNCT|,|!|,|!|,|!|
True,False,|(punct)|,|PUNCT|,|kerül|,|PUNCT|,|.|,|.|,|.|
False,False,|(nmod:att)|,|ATT|,|frakcióvezető|,|NE|,|Péter|,|Ungár|,|Ungár|
False,False,|(flat:name)|,|NE|,|Ungár|,|ATT|,|úrnak|,|Péter|,|Péter|
True,False,|(punct)|,|PUNCT|,|LMP|,|PUNCT|,|adom|,"|,|","|,|"
False,False,|(conj)|,|CONJ|,|adom|,|ATT|,|részéről|,|LMP|,|LMP|
True,False,|(case)|,|MODE|,|LMP|,|MODE|,|adom|,|részéről|,|részéről|
True,False,|(punct)|,|PUNCT|,|adom|,|PUNCT|,|.|,|.|,|.|
True,False,|(punct)|,|PUNCT|,|Parancsoljon|,|PUNCT|,|!|,|!|,|!|
False,False,|(ROOT)|,|ROOT|,|UNGÁR|,|NE|,|PÉTER|,|UNGÁR|,|UNGÁR|
False,False,|(flat:name)|,|NE|,|UNGÁR|,|SUBJ|,|Köszönöm|,|PÉTER|,|PÉTER|
False,False,|(appos)|,|MODE|,|UNGÁR|,|APPEND|,|PÉTER|,|LMP|,|LMP|
True,False,|(punct)|,|PUNCT|,|Köszönöm|,|PUNCT|,|LMP|,|):|,|):|
False,False,|(parataxis)|,|DEP|,|UNGÁR|,|ROOT|,|Köszönöm|,|Köszönöm|,|Köszönöm|
True,False,|(punct)|,|PUNCT|,|UNGÁR|,|PUNCT|,|.|,|.|,|.|
False,False,|(ROOT)|,|ROOT|,|Tisztelt|,|ATT|,|Országgyűlés|,|Tisztelt|,|Tisztelt|
False,False,|(nsubj)|,|SUBJ|,|Tisztelt|,|ROOT|,|Országgyűlés|,|Országgyűlés|,|Országgyűlés|
True,False,|(punct)|,|PUNCT|,|Tisztelt|,|PUNCT|,|!|,|!|,|!|
True,False,|(obl)|,|OBL|,|folyamat|,|OBL|,|járt|,|Összességében|,|Összességében|
False,False,|(obl)|,|OBL|,|tartó|,|ATT|,|óta|,|1990|,|1990|
False,False,|(case)|,|MODE|,|1990|,|TFROM|,|tartó|,|óta|,|óta|
False,False,|(ROOT)|,|ROOT|,|folyamat|,|SUBJ|,|járt|,|folyamat|,|folyamat|
True,False,|(punct)|,|PUNCT|,|folyamata|,|PUNCT|,|járt|,"|,|","|,|"
True,False,|(nsubj)|,|SUBJ|,|folyamata|,|SUBJ|,|volt|,|amely|,|amely|
False,False,|(acl)|,|ATT|,|folyamat|,|PRED|,|volt|,|folyamata|,|folyamata|
False,False,|(cop)|,|AUX|,|folyamata|,|ATT|,|járt|,|volt|,|volt|
True,False,|(punct)|,|PUNCT|,|járt|,|PUNCT|,|volt|,"|,|","|,|"
True,False,|(advmod:mode)|,|MODE|,|járt|,|MODE|,|sok|,|nagyon|,|nagyon|
False,False,|(conj)|,|CONJ|,|folyamata|,|ROOT|,|járt|,|járt|,|járt|
False,False,|(obl)|,|OBL|,|járt|,|ATT|,|számára|,|Magyarország|,|Magyarország|
True,False,|(case)|,|MODE|,|Magyarország|,|MODE|,|járt|,|számára|,|számára|
False,False,|(conj)|,|CONJ|,|folyamat|,|TLOCY|,|járt|,|kialakult|,|kialakult|
