huspacy lemma == huspacy em_lemma == emagyar lemma,huspacy lemma,huspacy em_lemma,emagyar lemma,huspacy token,emagyar token
False,|ELNÖK|,|None|,|elnök|,|ELNÖK|,|ELNÖK|
False,|:|,|None|,|:|,|:|,|:|
False,|(|,|None|,|(|,|(|,|(|
False,|lévő|,|None|,|lévő|,|lévők|,|lévők|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|.|,|None|,|.|,|.|,|.|
False,|amikor|,|None|,|amikor|,|Amikor|,|Amikor|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|lévő|,|None|,|lévő|,|lévők|,|lévők|
False,|is|,|None|,|is|,|is|,|is|
False,|)|,|None|,|)|,|)|,|)|
False,|tisztelt|,|tisztel|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|Képviselőtárs|,|képviselőtárs|,|képviselőtárs|,|Képviselőtársaim|,|Képviselőtársaim|
False,|!|,|None|,|!|,|!|,|!|
False,|Országgyűlés|,|None|,|országgyűlés|,|Országgyűlés|,|Országgyűlés|
False,|1.|,|1|,|1|,|1.|,|1.|
False,|.|,|None|,|.|,|.|,|.|
False,|ön|,|None|,|ön|,|önöket|,|önöket|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|Hiszékeny|,|None|,|hiszékeny|,|Hiszékeny|,|Hiszékeny|
False,|.|,|None|,|.|,|.|,|.|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|.|,|None|,|.|,|.|,|.|
False,|tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|Ház|,|None|,|ház|,|Ház|,|Ház|
False,|!|,|None|,|!|,|!|,|!|
False,|ön|,|None|,|ön|,|önöket|,|önöket|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|Országgyűlés|,|None|,|országgyűlés|,|Országgyűlésről|,|Országgyűlésről|
False,|35.|,|35|,|35|,|35.|,|35.|
False,|§|,|None|,|§|,|§|,|§|
False,|(|,|None|,|(|,|(|,|(|
False,|1|,|None|,|1|,|1|,|1)|
False,|foglalt|,|None|,|foglalt|,|foglaltak|,|foglaltak|
False,|Országgyűlés|,|None|,|országgyűlés|,|Országgyűlés|,|Országgyűlés|
False,|2022.|,|2022|,|2022|,|2022.|,|2022.|
False,|20.|,|20|,|20|,|20-a|,|20-a|
False,|24e|,|None|,|24|,|24e|,|24e|
False,|.|,|None|,|.|,|.|,|.|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|megismerhet|,|megismer|,|megismer|,|megismerhették|,|megismerhették|
False,|.|,|None|,|.|,|.|,|.|
False,|tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|Országgyűlés|,|None|,|országgyűlés|,|Országgyűlés|,|Országgyűlés|
False,|!|,|None|,|!|,|!|,|!|
False,|.|,|None|,|.|,|.|,|.|
False,|első|,|None|,|egy|,|Elsőként|,|Elsőként|
False,|Ungár|,|None|,|Ungár|,|Ungár|,|Ungár|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|LMP|,|None|,|LMP|,|LMP|,|LMP|
False,|rész|,|rész|,|részéről|,|részéről|,|részéről|
False,|.|,|None|,|.|,|.|,|.|
False,|!|,|None|,|!|,|!|,|!|
False,|UNGÁR|,|None|,|UNGÁR|,|UNGÁR|,|UNGÁR|
False,|PÉTER|,|Péter|,|Péter|,|PÉTER|,|PÉTER|
False,|(|,|None|,|(|,|(|,|(|
False,|LMP|,|None|,|LMP|,|LMP|,|LMP|
False,|):|,|None|,|):|,|):|,|):|
False,|.|,|None|,|.|,|.|,|.|
False,|tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|Országgyűlés|,|None|,|országgyűlés|,|Országgyűlés|,|Országgyűlés|
False,|!|,|None|,|!|,|!|,|!|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|EU-integráció|,|None|,|EU-integráció|,|EU-integráció|,|EU-integráció|
False,|van|,|None|,|van|,|volt|,|volt|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|sok|,|None|,|sok|,|sok|,|sok|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|kialakul|,|kialakul|,|kialakult|,|kialakult|,|kialakult|
False,|olyan|,|None|,|olyan|,|olyan|,|olyan|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|több|,|None|,|sok|,|több|,|több|
False,|.|,|None|,|.|,|.|,|.|
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,|betagozód|,|betagozódik|,|betagozódik|,|betagozódjon|,|betagozódjon|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|kevés|,|None|,|kevés|,|keveset|,|keveset|
False,|az|,|None|,|az|,|azokról|,|azokról|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|ez|,|None|,|ez|,|ez|,|ez|
False,|.|,|None|,|.|,|.|,|.|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|olyan|,|None|,|olyan|,|olyan|,|olyan|
False,|képz|,|képez|,|képez|,|képzünk|,|képzünk|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|.|,|None|,|.|,|.|,|.|
False,|Piketty|,|None|,|Piketty|,|Piketty|,|Piketty|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|ki|,|None|,|ki|,|ki|,|ki|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|Európai|,|None|,|európai|,|Európai|,|Európai|
False,|Unió|,|None|,|unió|,|Uniótól|,|Uniótól|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|ki|,|None|,|ki|,|ki|,|ki|
False,|.|,|None|,|.|,|.|,|.|
False,|.|,|None|,|.|,|.|,|.|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|ő|,|ő|,|rá|,|rá|,|rá|
False,|van|,|None|,|van|,|volt|,|volt|
False,|kényszerítve|,|kényszerít|,|kényszerít|,|kényszerítve|,|kényszerítve|
False,|’|,|None|,|’|,|’|,|’|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|nyugat-európai|,|None|,|nyugat-európai|,|nyugat-európaiaknak|,|nyugat-európaiaknak|
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,|.|,|None|,|.|,|.|,|.|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|.|,|None|,|.|,|.|,|.|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|zöld|,|None|,|zöld|,|zöldek|,|zöldek|
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,|Európai|,|None|,|európai|,|Európai|,|Európai|
False,|Unió|,|None|,|unió|,|Unió|,|Unió|
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,|lesz|,|lesz|,|van|,|lehetne|,|lehetne|
False,|olyan|,|None|,|olyan|,|olyan|,|olyan|
False,|Európai|,|None|,|európai|,|Európai|,|Európai|
False,|Unió|,|None|,|unió|,|Uniót|,|Uniót|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|.|,|None|,|.|,|.|,|.|
False,|fogyasztók|,|fogyasztó|,|fogyasztó|,|fogyasztókért|,|fogyasztókért|
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,|Föld|,|föld|,|föld|,|Földért|,|Földért|
False,|.|,|None|,|.|,|.|,|.|
False,|?|,|None|,|?|,|?|,|?|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|be|,|None|,|be|,|be|,|be|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|Egyesült|,|None|,|egyesült|,|Egyesült|,|Egyesült|
False,|Európai|,|None|,|európai|,|Európai|,|Európai|
False,|Unió|,|None|,|unió|,|Unió|,|Unió|
False,|legtöbb|,|None|,|sok|,|legtöbb|,|legtöbb|
False,|is|,|None|,|is|,|is|,|is|
False,|azért|,|None|,|az|,|azért|,|azért|
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,|.|,|None|,|.|,|.|,|.|
False,|ön|,|None|,|ön|,|önök|,|önök|
False,|fog|,|None|,|fog|,|fognak|,|fognak|
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,|az|,|None|,|az|,|azoknak|,|azoknak|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|ön|,|None|,|ön|,|önök|,|önök|
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,|adój|,|adó|,|adó|,|adójukat|,|adójukat|
False,|.|,|None|,|.|,|.|,|.|
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,|Tanács|,|Tanács|,|tanács|,|Tanács|,|Tanács|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|(|,|None|,|(|,|(|,|(|
False,|Rétvári|,|None|,|rétvári|,|Rétvári|,|Rétvári|
False,|:|,|None|,|:|,|:|,|:|
False,|Európa-párti|,|None|,|Európa-párti|,|Európa-pártiak|,|Európa-pártiak|
False,|Európa-ellenes|,|None|,|Európa-ellenes|,|Európa-ellenesek|,|Európa-ellenesek|
False,|?|,|None|,|?|,|?|,|?|
False,|)|,|None|,|)|,|)|,|)|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|azért|,|None|,|azért|,|azért|,|azért|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|adóterhe|,|None|,|adóteher|,|adóterhe|,|adóterhe|
False,|.|,|None|,|.|,|.|,|.|
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,|ön|,|None|,|ön|,|önök|,|önök|
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,|.|,|None|,|.|,|.|,|.|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|ön|,|None|,|ön|,|önök|,|önök|
False,|fog|,|None|,|fog|,|fognak|,|fognak|
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,|ön|,|None|,|ön|,|önök|,|önök|
False,|úgy|,|None|,|úgy|,|úgy|,|úgy|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|legkevesebb|,|kevés|,|kevés|,|legkevesebb|,|legkevesebb|
False,|be|,|None|,|be|,|be|,|be|
False,|az|,|None|,|az|,|azoktól|,|azoktól|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|legtöbb|,|None|,|sok|,|legtöbbje|,|legtöbbje|
False,|.|,|None|,|.|,|.|,|.|
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,|több|,|sok|,|sok|,|több|,|több|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|ön|,|None|,|ön|,|önök|,|önök|
False,|be|,|None|,|be|,|be|,|be|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|egyéb|,|None|,|egyéb|,|egyéb|,|egyéb|
False,|.|,|None|,|.|,|.|,|.|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|leosztva|,|leoszt|,|leoszt|,|leosztva|,|leosztva|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|teremtve|,|teremt|,|teremt|,|teremtve|,|teremtve|
False,|adóterh|,|adóteher|,|adóteher|,|adóterhe|,|adóterhe|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|adóterhe|,|adóteher|,|adóteher|,|adóterhe|,|adóterhe|
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,|akkor|,|None|,|akkor|,|akkor|,|akkor|
False,|fog|,|None|,|fog|,|fogják|,|fogják|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|míg|,|None|,|míg|,|míg|,|míg|
False,|kis-|,|None|,|kis|,|kis-|,|kis-|
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,|jól|,|jobban|,|jobban|,|jobban|,|jobban|
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,|az|,|None|,|az|,|azoknak|,|azoknak|
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,|adóterh|,|adóteher|,|adóteher|,|adóterhét|,|adóterhét|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|is|,|None|,|is|,|is|,|is|
False,|azért|,|None|,|az|,|azért|,|azért|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|többi|,|None|,|többi|,|többinek|,|többinek|
False,|.|,|None|,|.|,|.|,|.|
False,|azért|,|None|,|azért|,|Azért|,|Azért|
False,|is|,|None|,|is|,|is|,|is|
False,|ez|,|None|,|ez|,|ez|,|ez|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|ön|,|None|,|ön|,|önök|,|önök|
False,|minden|,|None|,|minden|,|minden|,|minden|
False,|úgy|,|None|,|úgy|,|úgy|,|úgy|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|mintha|,|None|,|mintha|,|mintha|,|mintha|
False,|.|,|None|,|.|,|.|,|.|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|.|,|None|,|.|,|.|,|.|
False,|.|,|None|,|.|,|.|,|.|
False,|Házik|,|None|,|ház|,|Háznak|,|Háznak|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|ez|,|None|,|ez|,|ez|,|ez|
False,|;|,|None|,|;|,|;|,|;|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|akkor|,|None|,|akkor|,|akkor|,|akkor|
False,|ott|,|None|,|ott|,|ott|,|ott|
False,|.|,|None|,|.|,|.|,|.|
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,|ön|,|None|,|ön|,|önök|,|önök|
False,|:|,|None|,|:|,|:|,|:|
False,|is|,|None|,|is|,|is|,|is|
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,|is|,|None|,|is|,|is|,|is|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|.|,|None|,|.|,|.|,|.|
False,|.|,|None|,|.|,|.|,|.|
False,|(|,|None|,|(|,|(|,|(|
False,|Taps|,|None|,|taps|,|Taps|,|Taps|
False,|)|,|None|,|)|,|)|,|)|
False,|ELNÖK|,|None|,|elnök|,|ELNÖK|,|ELNÖK|
False,|:|,|None|,|:|,|:|,|:|
False,|János|,|János|,|jános|,|János|,|János|
False,|úré|,|úr|,|úr|,|úré|,|úré|
False,|.|,|None|,|.|,|.|,|.|
False,|!|,|None|,|!|,|!|,|!|
False,|DR.|,|None|,|dr.|,|DR.|,|DR.|
False,|FÓNAGY|,|Fónagy|,|Fónagy|,|FÓNAGY|,|FÓNAGY|
False,|János|,|János|,|jános|,|JÁNOS|,|JÁNOS|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|Miniszterelnöki|,|None|,|miniszterelnöki|,|Miniszterelnöki|,|Miniszterelnöki|
False,|Kabinetiroda|,|None|,|kabinetiroda|,|Kabinetiroda|,|Kabinetiroda|
False,|:|,|None|,|:|,|:|,|:|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|.|,|None|,|.|,|.|,|.|
False,|tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|Ház|,|None|,|ház|,|Ház|,|Ház|
False,|!|,|None|,|!|,|!|,|!|
False,|tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|Képviselő|,|képviselő|,|képviselő|,|Képviselő|,|Képviselő|
False,|Úr|,|úr|,|úr|,|Úr|,|Úr|
False,|!|,|None|,|!|,|!|,|!|
False,|számára|,|számomra|,|számomra|,|számomra|,|számomra|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|messze|,|None|,|messzebbről|,|messzebbről|,|messzebbről|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|is|,|None|,|is|,|is|,|is|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|mely|,|amely|,|amely|,|melynek|,|melynek|
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,|.|,|None|,|.|,|.|,|.|
False,|az|,|None|,|az|,|azokra|,|azokra|
False,|25-30-35|,|None|,|25-30-35|,|25-30-35|,|25-30-35|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|amikor|,|None|,|amikor|,|amikor|,|amikor|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|évtized|,|None|,|évtized|,|évtizedekre|,|évtizedekre|
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,|számára|,|számunkra|,|számunkra|,|számunkra|,|számunkra|
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,|kereszténydemokrata-Fidesz-kormány|,|None|,|kereszténydemokrata|,|kereszténydemokrata-Fidesz-kormány|,|kereszténydemokrata|
False,|első|,|egy|,|egy|,|első|,|első|
False,|van|,|None|,|van|,|volt|,|volt|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|mindaz|,|None|,|mindaz|,|mindazokat|,|mindazokat|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|korán|,|korábban|,|korábban|,|korábban|,|korábban|
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,|azért|,|None|,|az|,|azért|,|azért|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|stratégiai|,|None|,|stratégiailag|,|stratégiailag|,|stratégiailag|
False,|meghatározó|,|None|,|meghatározó|,|meghatározók|,|meghatározók|
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,|másrészt|,|None|,|másrészt|,|másrészt|,|másrészt|
False,|azért|,|None|,|az|,|azért|,|azért|
False,|is|,|None|,|is|,|is|,|is|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|lehet|,|lesz|,|van|,|lehetett|,|lehetett|
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,"|,|",|None|,"|,|","|,|","|,|"
False,|.|,|None|,|.|,|.|,|.|
False,"|,|",|None|,"|,|","|,|","|,|"
False,|is|,|None|,|is|,|is|,|is|
