huspacy lemma == huspacy em_lemma == emagyar lemma,huspacy lemma,huspacy em_lemma,emagyar lemma,huspacy token,emagyar token
False,|ELNÖK|,|None|,|elnök|,|ELNÖK|,|ELNÖK|
False,|lévő|,|None|,|lévő|,|lévők|,|lévők|
False,|amikor|,|None|,|amikor|,|Amikor|,|Amikor|
False,|lévő|,|None|,|lévő|,|lévők|,|lévők|
False,|is|,|None|,|is|,|is|,|is|
False,|tisztelt|,|tisztel|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|Képviselőtárs|,|képviselőtárs|,|képviselőtárs|,|Képviselőtársaim|,|Képviselőtársaim|
False,|Országgyűlés|,|None|,|országgyűlés|,|Országgyűlés|,|Országgyűlés|
False,|1.|,|1|,|1|,|1.|,|1.|
False,|ön|,|None|,|ön|,|önöket|,|önöket|
False,|Hiszékeny|,|None|,|hiszékeny|,|Hiszékeny|,|Hiszékeny|
False,|tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|Ház|,|None|,|ház|,|Ház|,|Ház|
False,|ön|,|None|,|ön|,|önöket|,|önöket|
False,|Országgyűlés|,|None|,|országgyűlés|,|Országgyűlésről|,|Országgyűlésről|
False,|35.|,|35|,|35|,|35.|,|35.|
False,|1|,|None|,|1|,|1|,|1)|
False,|foglalt|,|None|,|foglalt|,|foglaltak|,|foglaltak|
False,|Országgyűlés|,|None|,|országgyűlés|,|Országgyűlés|,|Országgyűlés|
False,|2022.|,|2022|,|2022|,|2022.|,|2022.|
False,|20.|,|20|,|20|,|20-a|,|20-a|
False,|24e|,|None|,|24|,|24e|,|24e|
False,|megismerhet|,|megismer|,|megismer|,|megismerhették|,|megismerhették|
False,|tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|Országgyűlés|,|None|,|országgyűlés|,|Országgyűlés|,|Országgyűlés|
False,|első|,|None|,|egy|,|Elsőként|,|Elsőként|
False,|Ungár|,|None|,|Ungár|,|Ungár|,|Ungár|
False,|LMP|,|None|,|LMP|,|LMP|,|LMP|
False,|rész|,|rész|,|részéről|,|részéről|,|részéről|
False,|UNGÁR|,|None|,|UNGÁR|,|UNGÁR|,|UNGÁR|
False,|PÉTER|,|Péter|,|Péter|,|PÉTER|,|PÉTER|
False,|LMP|,|None|,|LMP|,|LMP|,|LMP|
False,|tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|Országgyűlés|,|None|,|országgyűlés|,|Országgyűlés|,|Országgyűlés|
False,|EU-integráció|,|None|,|EU-integráció|,|EU-integráció|,|EU-integráció|
False,|van|,|None|,|van|,|volt|,|volt|
False,|sok|,|None|,|sok|,|sok|,|sok|
False,|kialakul|,|kialakul|,|kialakult|,|kialakult|,|kialakult|
False,|olyan|,|None|,|olyan|,|olyan|,|olyan|
False,|több|,|None|,|sok|,|több|,|több|
False,|betagozód|,|betagozódik|,|betagozódik|,|betagozódjon|,|betagozódjon|
False,|kevés|,|None|,|kevés|,|keveset|,|keveset|
False,|az|,|None|,|az|,|azokról|,|azokról|
False,|ez|,|None|,|ez|,|ez|,|ez|
False,|olyan|,|None|,|olyan|,|olyan|,|olyan|
False,|képz|,|képez|,|képez|,|képzünk|,|képzünk|
