huspacy lemma ==huspacy em_lemma == emagyar lemma,huspacy lemma,huspacy em_lemma,emagyar lemma,huspacy token,emagyar token
False,|ELNÖK|,|None|,|elnök|,|ELNÖK|,|ELNÖK|
False,|lévő|,|None|,|lévő|,|lévők|,|lévők|
False,|amikor|,|None|,|amikor|,|Amikor|,|Amikor|
False,|lévő|,|None|,|lévő|,|lévők|,|lévők|
False,|is|,|None|,|is|,|is|,|is|
False,|Országgyűlés|,|None|,|országgyűlés|,|Országgyűlés|,|Országgyűlés|
False,|ön|,|None|,|ön|,|önöket|,|önöket|
False,|Hiszékeny|,|None|,|hiszékeny|,|Hiszékeny|,|Hiszékeny|
False,|tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|Ház|,|None|,|ház|,|Ház|,|Ház|
False,|ön|,|None|,|ön|,|önöket|,|önöket|
False,|Országgyűlés|,|None|,|országgyűlés|,|Országgyűlésről|,|Országgyűlésről|
False,|1|,|None|,|1|,|1|,|1)|
False,|foglalt|,|None|,|foglalt|,|foglaltak|,|foglaltak|
False,|Országgyűlés|,|None|,|országgyűlés|,|Országgyűlés|,|Országgyűlés|
False,|24e|,|None|,|24|,|24e|,|24e|
False,|tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|Országgyűlés|,|None|,|országgyűlés|,|Országgyűlés|,|Országgyűlés|
False,|első|,|None|,|egy|,|Elsőként|,|Elsőként|
False,|Ungár|,|None|,|Ungár|,|Ungár|,|Ungár|
False,|LMP|,|None|,|LMP|,|LMP|,|LMP|
False,|UNGÁR|,|None|,|UNGÁR|,|UNGÁR|,|UNGÁR|
False,|LMP|,|None|,|LMP|,|LMP|,|LMP|
False,|tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|Országgyűlés|,|None|,|országgyűlés|,|Országgyűlés|,|Országgyűlés|
False,|EU-integráció|,|None|,|EU-integráció|,|EU-integráció|,|EU-integráció|
False,|van|,|None|,|van|,|volt|,|volt|
False,|sok|,|None|,|sok|,|sok|,|sok|
False,|olyan|,|None|,|olyan|,|olyan|,|olyan|
False,|több|,|None|,|sok|,|több|,|több|
False,|kevés|,|None|,|kevés|,|keveset|,|keveset|
False,|az|,|None|,|az|,|azokról|,|azokról|
False,|ez|,|None|,|ez|,|ez|,|ez|
False,|olyan|,|None|,|olyan|,|olyan|,|olyan|
False,|Piketty|,|None|,|Piketty|,|Piketty|,|Piketty|
False,|ki|,|None|,|ki|,|ki|,|ki|
False,|Európai|,|None|,|európai|,|Európai|,|Európai|
False,|Unió|,|None|,|unió|,|Uniótól|,|Uniótól|
False,|ki|,|None|,|ki|,|ki|,|ki|
False,|van|,|None|,|van|,|volt|,|volt|
False,|nyugat-európai|,|None|,|nyugat-európai|,|nyugat-európaiaknak|,|nyugat-európaiaknak|
False,|zöld|,|None|,|zöld|,|zöldek|,|zöldek|
False,|Európai|,|None|,|európai|,|Európai|,|Európai|
False,|Unió|,|None|,|unió|,|Unió|,|Unió|
False,|olyan|,|None|,|olyan|,|olyan|,|olyan|
False,|Európai|,|None|,|európai|,|Európai|,|Európai|
False,|Unió|,|None|,|unió|,|Uniót|,|Uniót|
False,|be|,|None|,|be|,|be|,|be|
