huspacy lemma == huspacy em_lemma == emagyar lemma,huspacy lemma,huspacy em_lemma,emagyar lemma,huspacy token,emagyar token
True,|lesz|,|lesz|,|lesz|,|lesznek|,|lesznek|
False,|lesz|,|lesz|,|van|,|lehetne|,|lehetne|
True,|lesz|,|lesz|,|lesz|,|lenne|,|lenne|
False,|lesz|,|None|,|lesz|,|legyenek|,|legyenek|
False,|lesz|,|lesz|,|van|,|lehet|,|lehet|
False,|lesz|,|None|,|lesz|,|lesz|,|lesz|
False,|Lesz|,|None|,|lesz|,|Legyenek|,|Legyenek|
True,|lesz|,|lesz|,|lesz|,|lenne|,|lenne|
False,|lesz|,|lesz|,|van|,|lehet|,|lehet|
True,|lesz|,|lesz|,|lesz|,|legyenek|,|legyenek|
False,|lesz|,|lesz|,|van|,|lehet|,|lehet|
False,|lesz|,|lesz|,|van|,|legyen|,|legyen|
False,|lesz|,|lesz|,|van|,|lehetne|,|lehetne|
False,|lesz|,|None|,|van|,|legyen|,|legyen|
True,|lesz|,|lesz|,|lesz|,|legyenek|,|legyenek|
False,|lesz|,|lesz|,|van|,|legyen|,|legyen|
True,|lesz|,|lesz|,|lesz|,|lenne|,|lenne|
False,|lesz|,|None|,|lesz|,|lesz|,|lesz|
True,|lesz|,|lesz|,|lesz|,|lett|,|lett|
False,|lesz|,|None|,|van|,|legyen|,|legyen|
False,|lesz|,|None|,|lesz|,|lennének|,|lennének|
False,|lesz|,|lesz|,|van|,|lehet|,|lehet|
False,|lesz|,|lesz|,|van|,|lehet|,|lehet|
False,|lesz|,|lesz|,|van|,|lehet|,|lehet|
False,|lesz|,|lesz|,|van|,|lehet|,|lehet|
False,|lesz|,|None|,|van|,|legyen|,|legyen|
False,|lesz|,|lesz|,|van|,|lehet|,|lehet|
True,|lesz|,|lesz|,|lesz|,|lesznek|,|lesznek|
False,|lesz|,|lesz|,|van|,|lehet|,|lehet|
True,|lesz|,|lesz|,|lesz|,|lesz|,|lesz|
False,|lesz|,|None|,|lesz|,|legyenek|,|legyenek|
True,|lesz|,|lesz|,|lesz|,|lenne|,|lenne|
False,|lesz|,|lesz|,|van|,|lehet|,|lehet|
True,|lesz|,|lesz|,|lesz|,|lesz|,|lesz|
True,|lesz|,|lesz|,|lesz|,|lesz|,|lesz|
False,|lesz|,|None|,|lesz|,|lesz|,|lesz|
True,|lesz|,|lesz|,|lesz|,|lesz|,|lesz|
True,|lesz|,|lesz|,|lesz|,|lesz|,|lesz|
True,|lesz|,|lesz|,|lesz|,|lesz|,|lesz|
False,|lesz|,|None|,|lesz|,|lenne|,|lenne|
False,|lesz|,|None|,|lesz|,|lenne|,|lenne|
True,|lesz|,|lesz|,|lesz|,|lesz|,|lesz|
True,|lesz|,|lesz|,|lesz|,|lesz|,|lesz|
False,|lesz|,|None|,|lesz|,|lett|,|lett|
True,|lesz|,|lesz|,|lesz|,|lenne|,|lenne|
True,|lesz|,|lesz|,|lesz|,|lesz|,|lesz|
False,|lesz|,|None|,|van|,|legyen|,|legyen|
False,|lesz|,|lesz|,|van|,|lehet|,|lehet|
True,|lesz|,|lesz|,|lesz|,|lett|,|lett|
False,|lesz|,|lesz|,|van|,|legyen|,|legyen|
False,|lesz|,|lesz|,|van|,|legyen|,|legyen|
False,|lesz|,|lesz|,|van|,|legyen|,|legyen|
False,|lesz|,|None|,|van|,|legyen|,|legyen|
False,|lesz|,|lesz|,|van|,|lehet|,|lehet|
False,|lesz|,|lesz|,|van|,|lehet|,|lehet|
True,|lesz|,|lesz|,|lesz|,|leszek|,|leszek|
False,|lesz|,|lesz|,|van|,|legyen|,|legyen|
False,|lesz|,|lesz|,|van|,|legyen|,|legyen|
False,|lesz|,|lesz|,|van|,|legyen|,|legyen|
