huspacy lemma == huspacy em_lemma == emagyar lemma,huspacy lemma,huspacy em_lemma,emagyar lemma,huspacy token,emagyar token
True,|lesz|,|lesz|,|lesz|,|lesznek|,|lesznek|
False,|van|,|None|,|van|,|volt|,|volt|
True,|van|,|van|,|van|,|van|,|van|
False,|van|,|None|,|van|,|volt|,|volt|
True,|van|,|van|,|van|,|volt|,|volt|
False,|lesz|,|lesz|,|van|,|lehetne|,|lehetne|
True,|lehető|,|lehető|,|lehető|,|lehető|,|lehető|
True,|van|,|van|,|van|,|van|,|van|
True,|van|,|van|,|van|,|van|,|van|
True,|van|,|van|,|van|,|van|,|van|
True,|van|,|van|,|van|,|van|,|van|
True,|lesz|,|lesz|,|lesz|,|lenne|,|lenne|
True,|lehetőség|,|lehetőség|,|lehetőség|,|lehetőségük|,|lehetőségük|
True,|van|,|van|,|van|,|van|,|van|
True,|van|,|van|,|van|,|van|,|van|
True,|lehetőség|,|lehetőség|,|lehetőség|,|lehetőséget|,|lehetőséget|
False,|van|,|None|,|van|,|volt|,|volt|
True,|van|,|van|,|van|,|voltak|,|voltak|
False,|lehet|,|lesz|,|van|,|lehetett|,|lehetett|
True,|van|,|van|,|van|,|van|,|van|
True,|van|,|van|,|van|,|vannak|,|vannak|
True,|van|,|van|,|van|,|vannak|,|vannak|
False,|lesz|,|None|,|lesz|,|legyenek|,|legyenek|
False,|van|,|None|,|van|,|volt|,|volt|
True,|van|,|van|,|van|,|van|,|van|
False,|lesz|,|lesz|,|van|,|lehet|,|lehet|
False,|van|,|None|,|van|,|volt|,|volt|
False,|lesz|,|None|,|lesz|,|lesz|,|lesz|
True,|van|,|van|,|van|,|van|,|van|
False,|Lesz|,|None|,|lesz|,|Legyenek|,|Legyenek|
False,|van|,|None|,|van|,|volt|,|volt|
False,|lehet|,|lesz|,|van|,|lehessünk|,|lehessünk|
True,|lesz|,|lesz|,|lesz|,|lenne|,|lenne|
False,|lehet|,|lesz|,|van|,|lehessenek|,|lehessenek|
False,|lesz|,|lesz|,|van|,|lehet|,|lehet|
True,|lesz|,|lesz|,|lesz|,|legyenek|,|legyenek|
False,|volna|,|None|,|van|,|volna|,|volna|
True,|van|,|van|,|van|,|van|,|van|
False,|lesz|,|lesz|,|van|,|lehet|,|lehet|
False,|lehet|,|lesz|,|van|,|Lehet|,|Lehet|
False,|lesz|,|lesz|,|van|,|legyen|,|legyen|
False,|lesz|,|lesz|,|van|,|lehetne|,|lehetne|
False,|lesz|,|None|,|van|,|legyen|,|legyen|
True,|van|,|van|,|van|,|van|,|van|
True,|lesz|,|lesz|,|lesz|,|legyenek|,|legyenek|
True,|lehetőség|,|lehetőség|,|lehetőség|,|lehetőséget|,|lehetőséget|
False,|lesz|,|lesz|,|van|,|legyen|,|legyen|
True,|van|,|van|,|van|,|vannak|,|vannak|
True,|lesz|,|lesz|,|lesz|,|lenne|,|lenne|
False,|lesz|,|None|,|lesz|,|lesz|,|lesz|
True,|lesz|,|lesz|,|lesz|,|lett|,|lett|
False,|lesz|,|None|,|van|,|legyen|,|legyen|
True,|van|,|van|,|van|,|vannak|,|vannak|
False,|lesz|,|None|,|lesz|,|lennének|,|lennének|
True,|van|,|van|,|van|,|vannak|,|vannak|
True,|van|,|van|,|van|,|vannak|,|vannak|
False,|lesz|,|lesz|,|van|,|lehet|,|lehet|
False,|lesz|,|lesz|,|van|,|lehet|,|lehet|
False,|volna|,|None|,|volna|,|volna|,|volna|
False,|van|,|None|,|van|,|volt|,|volt|
True,|van|,|van|,|van|,|voltak|,|voltak|
False,|lesz|,|lesz|,|van|,|lehet|,|lehet|
False,|lesz|,|lesz|,|van|,|lehet|,|lehet|
