huspacy lemma ==huspacy em_lemma == emagyar lemma,huspacy lemma,huspacy em_lemma,emagyar lemma,huspacy token,emagyar token
False,|ELNÖK|,|None|,|elnök|,|ELNÖK|,|ELNÖK|
False,|:|,|None|,|:|,|:|,|:|
False,|(|,|None|,|(|,|(|,|(|
True,|a|,|a|,|a|,|A|,|A|
False,|terem|,|tér|,|terem|,|teremben|,|teremben|
False,|lévő|,|None|,|lévő|,|lévők|,|lévők|
True,|feláll|,|feláll|,|feláll|,|felállnak|,|felállnak|
False,"|,|",|None|,"|,|","|,|","|,|"
True,|és|,|és|,|és|,|és|,|és|
True,|ez|,|ez|,|ez|,|ezzel|,|ezzel|
True,|köszönt|,|köszönt|,|köszönt|,|köszöntik|,|köszöntik|
True,|a|,|a|,|a|,|a|,|a|
True,|választópolgár|,|választópolgár|,|választópolgár|,|választópolgárok|,|választópolgárok|
True,|közösség|,|közösség|,|közösség|,|közösségét|,|közösségét|
False,|.|,|None|,|.|,|.|,|.|
False,|amikor|,|None|,|amikor|,|Amikor|,|Amikor|
True,|az|,|az|,|az|,|az|,|az|
True,|ülés|,|ülés|,|ülés|,|ülést|,|ülést|
True,|vezető|,|vezető|,|vezető|,|vezető|,|vezető|
True,|elnök|,|elnök|,|elnök|,|elnök|,|elnök|
True,|hely|,|hely|,|hely|,|helyet|,|helyet|
True,|foglal|,|foglal|,|foglal|,|foglal|,|foglal|
False,"|,|",|None|,"|,|","|,|","|,|"
True,|a|,|a|,|a|,|a|,|a|
False,|terem|,|tér|,|terem|,|teremben|,|teremben|
False,|lévő|,|None|,|lévő|,|lévők|,|lévők|
False,|is|,|None|,|is|,|is|,|is|
True,|leül|,|leül|,|leül|,|leülnek|,|leülnek.|
huspacy,|.|,|None|,,|.|,
False,|)|,|None|,|)|,|)|,|)|
False,|tisztelt|,|tisztel|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|Képviselőtárs|,|képviselőtárs|,|képviselőtárs|,|Képviselőtársaim|,|Képviselőtársaim|
False,|!|,|None|,|!|,|!|,|!|
True,|az|,|az|,|az|,|Az|,|Az|
False,|Országgyűlés|,|None|,|országgyűlés|,|Országgyűlés|,|Országgyűlés|
True,|nyári|,|nyári|,|nyári|,|nyári|,|nyári|
True,|rendkívüli|,|rendkívüli|,|rendkívüli|,|rendkívüli|,|rendkívüli|
True,|ülés|,|ülés|,|ülés|,|ülésének|,|ülésének|
False,|1.|,|1|,|1|,|1.|,|1.|
True,|ülésnap|,|ülésnap|,|ülésnap|,|ülésnapját|,|ülésnapját|
True,|megnyit|,|megnyit|,|megnyit|,|megnyitom|,|megnyitom|
False,|.|,|None|,|.|,|.|,|.|
True,|tájékoztat|,|tájékoztat|,|tájékoztat|,|Tájékoztatom|,|Tájékoztatom|
False,|ön|,|None|,|ön|,|önöket|,|önöket|
False,"|,|",|None|,"|,|","|,|","|,|"
True,|hogy|,|hogy|,|hogy|,|hogy|,|hogy|
True,|az|,|az|,|az|,|az|,|az|
True,|ülés|,|ülés|,|ülés|,|ülés|,|ülés|
True,|vezetés|,|vezetés|,|vezetés|,|vezetésében|,|vezetésében|
True,|Szűcs|,|Szűcs|,|Szűcs|,|Szűcs|,|Szűcs|
True,|Lajos|,|Lajos|,|Lajos|,|Lajos|,|Lajos|
True,|és|,|és|,|és|,|és|,|és|
False,|Hiszékeny|,|None|,|hiszékeny|,|Hiszékeny|,|Hiszékeny|
True,|Dezső|,|Dezső|,|Dezső|,|Dezső|,|Dezső|
True,|jegyző|,|jegyző|,|jegyző|,|jegyző|,|jegyző|
True,|úr|,|úr|,|úr|,|urak|,|urak|
True,|lesz|,|lesz|,|lesz|,|lesznek|,|lesznek|
True,|segítség|,|segítség|,|segítség|,|segítségemre|,|segítségemre|
False,|.|,|None|,|.|,|.|,|.|
True,|köszönt|,|köszönt|,|köszönt|,|Köszöntök|,|Köszöntök|
True,|mindenki|,|mindenki|,|mindenki|,|mindenkit|,|mindenkit|
False,"|,|",|None|,"|,|","|,|","|,|"
True,|aki|,|aki|,|aki|,|aki|,|aki|
True,|figyelem|,|figyelem|,|figyelem|,|figyelemmel|,|figyelemmel|
True,|kísér|,|kísér|,|kísér|,|kíséri|,|kíséri|
True,|munka|,|munka|,|munka|,|munkánkat|,|munkánkat|
False,|.|,|None|,|.|,|.|,|.|
False,|tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|Ház|,|None|,|ház|,|Ház|,|Ház|
False,|!|,|None|,|!|,|!|,|!|
True,|tájékoztat|,|tájékoztat|,|tájékoztat|,|Tájékoztatom|,|Tájékoztatom|
False,|ön|,|None|,|ön|,|önöket|,|önöket|
False,"|,|",|None|,"|,|","|,|","|,|"
True,|hogy|,|hogy|,|hogy|,|hogy|,|hogy|
True,|a|,|a|,|a|,|a|,|a|
True,|kormány|,|kormány|,|kormány|,|kormány|,|kormány|
True,|az|,|az|,|az|,|az|,|az|
False,|Országgyűlés|,|None|,|országgyűlés|,|Országgyűlésről|,|Országgyűlésről|
True,|szóló|,|szóló|,|szóló|,|szóló|,|szóló|
True,|törvény|,|törvény|,|törvény|,|törvény|,|törvény|
False,|35.|,|35|,|35|,|35.|,|35.|
False,|§|,|None|,|§|,|§|,|§|
False,|(|,|None|,|(|,|(|,|(|
False,|1|,|None|,|1|,|1|,|1)|
huspacy,|)|,|None|,,|)|,
True,|bekezdés|,|bekezdés|,|bekezdés|,|bekezdésében|,|bekezdésében|
False,|foglalt|,|None|,|foglalt|,|foglaltak|,|foglaltak|
False,|alap|,|alapa|,|alap|,|alapján|,|alapján|
True,|az|,|az|,|az|,|az|,|az|
False,|Országgyűlés|,|None|,|országgyűlés|,|Országgyűlés|,|Országgyűlés|
True,|rendkívüli|,|rendkívüli|,|rendkívüli|,|rendkívüli|,|rendkívüli|
True,|ülés|,|ülés|,|ülés|,|ülésének|,|ülésének|
True,|összehívás|,|összehívás|,|összehívás|,|összehívását|,|összehívását|
False,|kezdeményez|,|kezdeményezik|,|kezdeményez|,|kezdeményezte|,|kezdeményezte|
False,|2022.|,|2022|,|2022|,|2022.|,|2022.|
True,|június|,|június|,|június|,|június|,|június|
False,|20.|,|20|,|20|,|20-a|,|20-a|
True,|és|,|és|,|és|,|és|,|és|
True,|június|,|június|,|június|,|június|,|június|
False,|24e|,|None|,|24|,|24e|,|24e|
True,|közötti|,|közötti|,|közötti|,|közötti|,|közötti|
True,|idő|,|idő|,|idő|,|időre|,|időre|
False,|.|,|None|,|.|,|.|,|.|
True,|a|,|a|,|a|,|A|,|A|
True,|levél|,|levél|,|levél|,|levelet|,|levelet|
True,|és|,|és|,|és|,|és|,|és|
True,|az|,|az|,|az|,|annak|,|annak|
False,|melléklet|,|mellékletét|,|melléklet|,|mellékletét|,|mellékletét|
False,"|,|",|None|,"|,|","|,|","|,|"
True,|valamint|,|valamint|,|valamint|,|valamint|,|valamint|
True,|a|,|a|,|a|,|a|,|a|
True,|Fidesz|,|Fidesz|,|Fidesz|,|Fidesz|,|Fidesz|
True,|képviselőcsoport|,|képviselőcsoport|,|képviselőcsoport|,|képviselőcsoportjának|,|képviselőcsoportjának|
True,|indítvány|,|indítvány|,|indítvány|,|indítványát|,|indítványát|
True,|a|,|a|,|a|,|a|,|a|
True,|rendkívüli|,|rendkívüli|,|rendkívüli|,|rendkívüli|,|rendkívüli|
True,|ülés|,|ülés|,|ülés|,|ülés|,|ülés|
True,|napirendi|,|napirendi|,|napirendi|,|napirendi|,|napirendi|
True,|javaslat|,|javaslat|,|javaslat|,|javaslatának|,|javaslatának|
True,|kiegészítés|,|kiegészítés|,|kiegészítés|,|kiegészítésére|,|kiegészítésére|
True,|vonatkozó|,|vonatkozó|,|vonatkozó|,|vonatkozóan|,|vonatkozóan|
True,|a|,|a|,|a|,|a|,|a|
True,|honlap|,|honlap|,|honlap|,|honlapon|,|honlapon|
False,|megismerhet|,|megismer|,|megismer|,|megismerhették|,|megismerhették|
False,|.|,|None|,|.|,|.|,|.|
False,|tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|Országgyűlés|,|None|,|országgyűlés|,|Országgyűlés|,|Országgyűlés|
False,|!|,|None|,|!|,|!|,|!|
True,|most|,|most|,|most|,|Most|,|Most|
True,|a|,|a|,|a|,|a|,|a|
True,|napirend|,|napirend|,|napirend|,|napirend|,|napirend|
True,|előtti|,|előtti|,|előtti|,|előtti|,|előtti|
True,|hozzászólás|,|hozzászólás|,|hozzászólás|,|hozzászólásokra|,|hozzászólásokra|
True,|kerül|,|kerül|,|kerül|,|kerül|,|kerül|
True,|sor|,|sor|,|sor|,|sor|,|sor|
False,|.|,|None|,|.|,|.|,|.|
False,|első|,|None|,|egy|,|Elsőként|,|Elsőként|
False,|Ungár|,|None|,|Ungár|,|Ungár|,|Ungár|
True,|Péter|,|Péter|,|Péter|,|Péter|,|Péter|
True,|frakcióvezető|,|frakcióvezető|,|frakcióvezető|,|frakcióvezető|,|frakcióvezető|
True,|úr|,|úr|,|úr|,|úrnak|,|úrnak|
True,|ad|,|ad|,|ad|,|adom|,|adom|
True,|meg|,|meg|,|meg|,|meg|,|meg|
True,|a|,|a|,|a|,|a|,|a|
True,|szó|,|szó|,|szó|,|szót|,|szót|
False,"|,|",|None|,"|,|","|,|","|,|"
True,|az|,|az|,|az|,|az|,|az|
False,|LMP|,|None|,|LMP|,|LMP|,|LMP|
False,|rész|,|rész|,|részéről|,|részéről|,|részéről|
False,|.|,|None|,|.|,|.|,|.|
True,|parancsol|,|parancsol|,|parancsol|,|Parancsoljon|,|Parancsoljon|
False,|!|,|None|,|!|,|!|,|!|
False,|UNGÁR|,|None|,|UNGÁR|,|UNGÁR|,|UNGÁR|
False,|PÉTER|,|Péter|,|Péter|,|PÉTER|,|PÉTER|
False,|(|,|None|,|(|,|(|,|(|
False,|LMP|,|None|,|LMP|,|LMP|,|LMP|
False,|):|,|None|,|):|,|):|,|):|
True,|köszön|,|köszön|,|köszön|,|Köszönöm|,|Köszönöm|
True,|a|,|a|,|a|,|a|,|a|
True,|szó|,|szó|,|szó|,|szót|,|szót|
False,|.|,|None|,|.|,|.|,|.|
False,|tisztelt|,|None|,|tisztelt|,|Tisztelt|,|Tisztelt|
False,|Országgyűlés|,|None|,|országgyűlés|,|Országgyűlés|,|Országgyűlés|
False,|!|,|None|,|!|,|!|,|!|
True,|összesség|,|összesség|,|összesség|,|Összességében|,|Összességében|
True,|az|,|az|,|az|,|az|,|az|
True,|1990|,|1990|,|1990|,|1990|,|1990|
True,|óta|,|óta|,|óta|,|óta|,|óta|
True,|tartó|,|tartó|,|tartó|,|tartó|,|tartó|
True,|folyamat|,|folyamat|,|folyamat|,|folyamat|,|folyamat|
False,"|,|",|None|,"|,|","|,|","|,|"
True,|amely|,|amely|,|amely|,|amely|,|amely|
True,|az|,|az|,|az|,|az|,|az|
False,|EU-integráció|,|None|,|EU-integráció|,|EU-integráció|,|EU-integráció|
True,|folyamat|,|folyamat|,|folyamat|,|folyamata|,|folyamata|
False,|van|,|None|,|van|,|volt|,|volt|
False,"|,|",|None|,"|,|","|,|","|,|"
True,|nagyon|,|nagyon|,|nagyon|,|nagyon|,|nagyon|
False,|sok|,|None|,|sok|,|sok|,|sok|
True,|előny|,|előny|,|előny|,|előnnyel|,|előnnyel|
True,|jár|,|jár|,|jár|,|járt|,|járt|
True,|Magyarország|,|Magyarország|,|Magyarország|,|Magyarország|,|Magyarország|
True,|számára|,|számára|,|számára|,|számára|,|számára|
False,"|,|",|None|,"|,|","|,|","|,|"
True,|a|,|a|,|a|,|a|,|a|
True,|tervgazdaság|,|tervgazdaság|,|tervgazdaság|,|tervgazdaság|,|tervgazdaság|
True,|rom|,|rom|,|rom|,|romjain|,|romjain|
False,|kialakul|,|kialakul|,|kialakult|,|kialakult|,|kialakult|
True,|egy|,|egy|,|egy|,|egy|,|egy|
False,|olyan|,|None|,|olyan|,|olyan|,|olyan|
True,|gazdaság|,|gazdaság|,|gazdaság|,|gazdaság|,|gazdaság|
False,"|,|",|None|,"|,|","|,|","|,|"
True,|amely|,|amely|,|amely|,|amelyben|,|amelyben|
False,|több|,|None|,|sok|,|több|,|több|
True,|szabadság|,|szabadság|,|szabadság|,|szabadsága|,|szabadsága|
True,|van|,|van|,|van|,|van|,|van|
True,|az|,|az|,|az|,|az|,|az|
True,|ember|,|ember|,|ember|,|embereknek|,|embereknek|
False,|.|,|None|,|.|,|.|,|.|
True,|a|,|a|,|a|,|A|,|A|
True,|helyzet|,|helyzet|,|helyzet|,|helyzet|,|helyzet|
True,|az|,|az|,|az|,|az|,|az|
False,"|,|",|None|,"|,|","|,|","|,|"
True,|hogy|,|hogy|,|hogy|,|hogy|,|hogy|
True,|az|,|az|,|az|,|az|,|az|
True,|elmúlt|,|elmúlt|,|elmúlt|,|elmúlt|,|elmúlt|
True,|12|,|12|,|12|,|12|,|12|
True,|év|,|év|,|év|,|év|,|év|
True,|tulajdonképpen|,|tulajdonképpen|,|tulajdonképpen|,|tulajdonképpen|,|tulajdonképpen|
True,|az|,|az|,|az|,|arról|,|arról|
True,|szól|,|szól|,|szól|,|szólt|,|szólt|
False,"|,|",|None|,"|,|","|,|","|,|"
True,|hogy|,|hogy|,|hogy|,|hogy|,|hogy|
True,|a|,|a|,|a|,|a|,|a|
True,|nemzetközi|,|nemzetközi|,|nemzetközi|,|nemzetközi|,|nemzetközi|
True,|neoliberális|,|neoliberális|,|neoliberális|,|neoliberális|,|neoliberális|
True,|gazdasági|,|gazdasági|,|gazdasági|,|gazdasági|,|gazdasági|
True,|rendszer|,|rendszer|,|rendszer|,|rendszerbe|,|rendszerbe|
True,|sikeres|,|sikeres|,|sikeres|,|sikeresen|,|sikeresen|
False,|betagozód|,|betagozódik|,|betagozódik|,|betagozódjon|,|betagozódjon|
True,|az|,|az|,|az|,|az|,|az|
True,|ország|,|ország|,|ország|,|ország|,|ország|
False,"|,|",|None|,"|,|","|,|","|,|"
True,|de|,|de|,|de|,|de|,|de|
True,|nagyon|,|nagyon|,|nagyon|,|nagyon|,|nagyon|
False,|kevés|,|None|,|kevés|,|keveset|,|keveset|
True,|beszél|,|beszél|,|beszél|,|beszéltünk|,|beszéltünk|
False,|az|,|None|,|az|,|azokról|,|azokról|
True,|a|,|a|,|a|,|a|,|a|
True,|hátrány|,|hátrány|,|hátrány|,|hátrányokról|,|hátrányokról|
False,"|,|",|None|,"|,|","|,|","|,|"
True,|amely|,|amely|,|amely|,|amelyeket|,|amelyeket|
False,|ez|,|None|,|ez|,|ez|,|ez|
True,|az|,|az|,|az|,|az|,|az|
True,|elmúlt|,|elmúlt|,|elmúlt|,|elmúlt|,|elmúlt|
True,|30|,|30|,|30|,|30|,|30|
True,|év|,|év|,|év|,|év|,|év|
False,|okoz|,|okozik|,|okoz|,|okozott|,|okozott|
False,|.|,|None|,|.|,|.|,|.|
True,|a|,|a|,|a|,|A|,|A|
True,|magyar|,|magyar|,|magyar|,|magyar|,|magyar|
True,|feldolgozóipar|,|feldolgozóipar|,|feldolgozóipar|,|feldolgozóipar|,|feldolgozóipar|
True,|megszűnik|,|megszűnik|,|megszűnik|,|megszűnt|,|megszűnt|
False,"|,|",|None|,"|,|","|,|","|,|"
True,|és|,|és|,|és|,|és|,|és|
True,|az|,|az|,|az|,|az|,|az|
True,|agyelszívás|,|agyelszívás|,|agyelszívás|,|agyelszívás|,|agyelszívás|
True,|miatt|,|miatt|,|miatt|,|miatt|,|miatt|
True,|tulajdonképpen|,|tulajdonképpen|,|tulajdonképpen|,|tulajdonképpen|,|tulajdonképpen|
False,|olyan|,|None|,|olyan|,|olyan|,|olyan|
True,|ember|,|ember|,|ember|,|embereket|,|embereket|
False,|képz|,|képez|,|képez|,|képzünk|,|képzünk|
False,"|,|",|None|,"|,|","|,|","|,|"
True,|aki|,|aki|,|aki|,|akik|,|akik|
True,|a|,|a|,|a|,|a|,|a|
True,|nyugati|,|nyugati|,|nyugati|,|nyugati|,|nyugati|
True,|bérelőny|,|bérelőny|,|bérelőny|,|bérelőny|,|bérelőny|
True,|miatt|,|miatt|,|miatt|,|miatt|,|miatt|
True,|nem|,|nem|,|nem|,|nem|,|nem|
True,|tud|,|tud|,|tud|,|tudják|,|tudják|
True,|megtalál|,|megtalál|,|megtalál|,|megtalálni|,|megtalálni|
True,|Magyarország|,|Magyarország|,|Magyarország|,|Magyarországon|,|Magyarországon|
True,|a|,|a|,|a|,|a|,|a|
True,|számítás|,|számítás|,|számítás|,|számításukat|,|számításukat|
False,|.|,|None|,|.|,|.|,|.|
True,|Thomas|,|Thomas|,|Thomas|,|Thomas|,|Thomas|
False,|Piketty|,|None|,|Piketty|,|Piketty|,|Piketty|
True,|közgazdász|,|közgazdász|,|közgazdász|,|közgazdász|,|közgazdász|
True,|az|,|az|,|az|,|azt|,|azt|
True,|mond|,|mond|,|mond|,|mondta|,|mondta|
False,"|,|",|None|,"|,|","|,|","|,|"
True,|az|,|az|,|az|,|azt|,|azt|
True,|számol|,|számol|,|számol|,|számolta|,|számolta|
False,|ki|,|None|,|ki|,|ki|,|ki|
True,|nemrég|,|nemrég|,|nemrég|,|nemrég|,|nemrég|
False,"|,|",|None|,"|,|","|,|","|,|"
True,|hogy|,|hogy|,|hogy|,|hogy|,|hogy|
True,|amennyi|,|amennyi|,|amennyi|,|amennyi|,|amennyi|
True,|pénz|,|pénz|,|pénz|,|pénzt|,|pénzt|
True,|Magyarország|,|Magyarország|,|Magyarország|,|Magyarország|,|Magyarország|
True,|kap|,|kap|,|kap|,|kap|,|kap|
True,|az|,|az|,|az|,|az|,|az|
False,|Európai|,|None|,|európai|,|Európai|,|Európai|
False,|Unió|,|None|,|unió|,|Uniótól|,|Uniótól|
True,|támogatás|,|támogatás|,|támogatás|,|támogatásként|,|támogatásként|
False,"|,|",|None|,"|,|","|,|","|,|"
True,|annyi|,|annyi|,|annyi|,|annyi|,|annyi|
True,|pénz|,|pénz|,|pénz|,|pénzt|,|pénzt|
False,|ki|,|None|,|ki|,|ki|,|ki|
True,|is|,|is|,|is|,|is|,|is|
True,|visz|,|visz|,|visz|,|visznek|,|visznek|
True,|a|,|a|,|a|,|a|,|a|
True,|nyugati|,|nyugati|,|nyugati|,|nyugati|,|nyugati|
True,|cég|,|cég|,|cég|,|cégek|,|cégek|
True,|profit|,|profit|,|profit|,|profitként|,|profitként|
False,|.|,|None|,|.|,|.|,|.|
True,|tulajdonképpen|,|tulajdonképpen|,|tulajdonképpen|,|Tulajdonképpen|,|Tulajdonképpen|
True,|ez|,|ez|,|ez|,|ez|,|ez|
True,|az|,|az|,|az|,|az|,|az|
True,|egyenleg|,|egyenleg|,|egyenleg|,|egyenleg|,|egyenleg|
True,|nullszaldós|,|nullszaldós|,|nullszaldós|,|nullszaldós|,|nullszaldós|
False,|.|,|None|,|.|,|.|,|.|
True,|a|,|a|,|a|,|A|,|A|
True,|helyzet|,|helyzet|,|helyzet|,|helyzet|,|helyzet|
