huspacy_emm == emagyar,huspacy_ud,huspacy_emm,emagyar,huspacy token,emagyar token
False,|None|,|None|,|[/N][Nom]|,|ELNÖK|,|ELNÖK|
False,|None|,|None|,|[/Adj][Pl][Nom]|,|lévők|,|lévők|
False,|None|,|None|,|[/Adv|Pro|Rel]|,|Amikor|,|Amikor|
False,|None|,|None|,|[/Adj][Pl][Nom]|,|lévők|,|lévők|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/N][Nom]|,|Országgyűlés|,|Országgyűlés|
False,|None|,|None|,|[/N|Pro][Pl][Acc]|,|önöket|,|önöket|
False,|None|,|None|,|[/Adj][Nom]|,|Hiszékeny|,|Hiszékeny|
False,|None|,|None|,|[/Adj][Nom]|,|Tisztelt|,|Tisztelt|
False,|None|,|None|,|[/N][Nom]|,|Ház|,|Ház|
False,|None|,|None|,|[/N|Pro][Pl][Acc]|,|önöket|,|önöket|
False,|None|,|None|,|[/N][Del]|,|Országgyűlésről|,|Országgyűlésről|
False,|None|,|None|,|[/Num|Digit][Nom][Punct]|,|1|,|1)|
False,|None|,|None|,|[/Adj][Pl][Nom]|,|foglaltak|,|foglaltak|
False,|None|,|None|,|[/N][Nom]|,|Országgyűlés|,|Országgyűlés|
False,|None|,|None|,|[/N]|,|24e|,|24e|
False,|None|,|None|,|[/Adj][Nom]|,|Tisztelt|,|Tisztelt|
False,|None|,|None|,|[/N][Nom]|,|Országgyűlés|,|Országgyűlés|
False,|None|,|None|,|[/Num][_Ord/Adj][EssFor:ként]|,|Elsőként|,|Elsőként|
False,|None|,|None|,|[/N][Nom]|,|Ungár|,|Ungár|
False,|None|,|None|,|[/N][Nom]|,|LMP|,|LMP|
False,|None|,|None|,|[/N][Nom]|,|UNGÁR|,|UNGÁR|
False,|None|,|None|,|[/N][Nom]|,|LMP|,|LMP|
False,|None|,|None|,|[/Adj][Nom]|,|Tisztelt|,|Tisztelt|
False,|None|,|None|,|[/N][Nom]|,|Országgyűlés|,|Országgyűlés|
False,|None|,|None|,|[/N][Nom]|,|EU-integráció|,|EU-integráció|
False,|None|,|None|,|[/V][Pst.NDef.3Sg]|,|volt|,|volt|
False,|None|,|None|,|[/Num][Nom]|,|sok|,|sok|
False,|None|,|None|,|[/Adj|Pro][Nom]|,|olyan|,|olyan|
False,|None|,|None|,|[/Num][_Comp/Num][Nom]|,|több|,|több|
False,|None|,|None|,|[/Num][Acc]|,|keveset|,|keveset|
False,|None|,|None|,|[/Det|Pro][Pl][Del]|,|azokról|,|azokról|
False,|None|,|None|,|[/Det|Pro][Nom]|,|ez|,|ez|
False,|None|,|None|,|[/Adj|Pro][Nom]|,|olyan|,|olyan|
False,|None|,|None|,|[/N][Nom]|,|Piketty|,|Piketty|
False,|None|,|None|,|[/Prev]|,|ki|,|ki|
False,|None|,|None|,|[/Adj][Nom]|,|Európai|,|Európai|
False,|None|,|None|,|[/N][Abl]|,|Uniótól|,|Uniótól|
False,|None|,|None|,|[/Prev]|,|ki|,|ki|
False,|None|,|None|,|[/V][Pst.NDef.3Sg]|,|volt|,|volt|
False,|None|,|None|,|[/Adj][Pl][Dat]|,|nyugat-európaiaknak|,|nyugat-európaiaknak|
False,|None|,|None|,|[/Adj][Pl][Nom]|,|zöldek|,|zöldek|
False,|None|,|None|,|[/Adj][Nom]|,|Európai|,|Európai|
False,|None|,|None|,|[/N][Nom]|,|Unió|,|Unió|
False,|None|,|None|,|[/Adj|Pro][Nom]|,|olyan|,|olyan|
False,|None|,|None|,|[/Adj][Nom]|,|Európai|,|Európai|
False,|None|,|None|,|[/N][Acc]|,|Uniót|,|Uniót|
False,|None|,|None|,|[/Prev]|,|be|,|be|
False,|None|,|None|,|[/Adj][Nom]|,|Egyesült|,|Egyesült|
False,|None|,|None|,|[/Adj][Nom]|,|Európai|,|Európai|
False,|None|,|None|,|[/N][Nom]|,|Unió|,|Unió|
False,|None|,|None|,|[/Supl][/Num][_Comp/Num][Nom]|,|legtöbb|,|legtöbb|
False,|None|,|None|,|[/Adv]|,|is|,|is|
False,|None|,|None|,|[/Det|Pro][Cau]|,|azért|,|azért|
False,|None|,|None|,|[/N|Pro][Pl][Nom]|,|önök|,|önök|
