uspacy pos (sima upos),huspacy tag (detailed pos),huspacy em ud tag,emagyar pos,emagyarpos,,tokenek,ures,huspacy normal,huspacy detailed,huspacy em,emagyar,,
FALSE,|PROPN|,|PROPN|,|[]|,|NOUN|,,(ELNÖK ELNÖK),,ok,ok,n,n,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,(: :),,ok,ok,n,ok,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,(( (),,ok,ok,n,ok,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(A A),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(teremben teremben),,,,,,,
FALSE,|NOUN|,|ADJ|,|[]|,|ADJ|,,(lévők lévők),,?,?,?,?,,
TRUE,|VERB|,|VERB|,|VERB|,|VERB|,,(felállnak felállnak),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,"(, ,)",,ok,ok,n,ok,,
TRUE,|CCONJ|,|CCONJ|,|CCONJ|,|CCONJ|,,(és és),,,,,,,
TRUE,|PRON|,|PRON|,|PRON|,|PRON|,,(ezzel ezzel),,,,,,,
TRUE,|VERB|,|VERB|,|VERB|,|VERB|,,(köszöntik köszöntik),,,,,,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(a a),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(választópolgárok választópolgárok),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(közösségét közösségét),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,(. .),,ok,ok,n,ok,,
FALSE,|ADV|,|ADV|,|[]|,|PRON|,,(Amikor Amikor),,n,n,n,ok,,
TRUE,|DET|,|DET|,|DET|,|DET|,,(az az),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(ülést ülést),,,,,,,
TRUE,|ADJ|,|ADJ|,|ADJ|,|ADJ|,,(vezető vezető),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(elnök elnök),,,,,,,
TRUE,|NOUN|,|NOUN|,|NOUN|,|NOUN|,,(helyet helyet),,,,,,,
TRUE,|VERB|,|VERB|,|VERB|,|VERB|,,(foglal foglal),,,,,,,
FALSE,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,,"(, ,)",,ok,ok,n,ok,,
