mind a 4 egyenlő-e,huspacy sima pos,huspacy tag (detailed pos),huspacy em ud tag,emagyar pos,huspacy token,emagyar token
False,|PROPN|,|PROPN|,|[]|,|NOUN|,ELNÖK,ELNÖK
False,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,|:|,|:|
False,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,|(|,|(|
False,|NOUN|,|ADJ|,|[]|,|ADJ|,|lévők|,|lévők|
False,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,"|,|","|,|"
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,|.|,|.|
False,|ADV|,|ADV|,|[]|,|PRON|,|Amikor|,|Amikor|
False,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,"|,|","|,|"
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|lévők|,|lévők|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,|)|,|)|
False,|VERB|,|VERB|,|VERB|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|NOUN|,|PROPN|,|NOUN|,|NOUN|,|Képviselőtársaim|,|Képviselőtársaim|
False,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,|!|,|!|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Országgyűlés|,|Országgyűlés|
False,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,|.|,|.|
False,|NOUN|,|NOUN|,|[]|,|PRON|,|önöket|,|önöket|
False,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,"|,|","|,|"
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Hiszékeny|,|Hiszékeny|
False,|VERB|,|AUX|,|VERB|,|VERB|,|lesznek|,|lesznek|
False,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,|.|,|.|
False,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,"|,|","|,|"
False,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,|.|,|.|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Ház|,|Ház|
False,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,|!|,|!|
False,|NOUN|,|NOUN|,|[]|,|PRON|,|önöket|,|önöket|
False,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,"|,|","|,|"
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Országgyűlésről|,|Országgyűlésről|
False,|PUNCT|,|PUNCT|,|[]|,|NOUN|,|§|,|§|
False,|PUNCT|,|PUNCT|,|[]|,|PUNCT|,|(|,|(|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|1|,|1)|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|foglaltak|,|foglaltak|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Országgyűlés|,|Országgyűlés|
