mind a 4 egyenlő-e,huspacy sima pos,huspacy tag (detailed pos),huspacy em ud tag,emagyar pos,huspacy token,emagyar token
False,|PROPN|,|PROPN|,|[]|,|NOUN|,ELNÖK,ELNÖK
False,|NOUN|,|ADJ|,|[]|,|ADJ|,|lévők|,|lévők|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|ADV|,|ADV|,|[]|,|PRON|,|Amikor|,|Amikor|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|lévők|,|lévők|
False,|CCONJ|,|CCONJ|,|[]|,|ADV|,|is|,|is|
False,|VERB|,|VERB|,|VERB|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|NOUN|,|PROPN|,|NOUN|,|NOUN|,|Képviselőtársaim|,|Képviselőtársaim|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Országgyűlés|,|Országgyűlés|
False,|NOUN|,|NOUN|,|[]|,|PRON|,|önöket|,|önöket|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|Hiszékeny|,|Hiszékeny|
False,|VERB|,|AUX|,|VERB|,|VERB|,|lesznek|,|lesznek|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Ház|,|Ház|
False,|NOUN|,|NOUN|,|[]|,|PRON|,|önöket|,|önöket|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Országgyűlésről|,|Országgyűlésről|
False,|PROPN|,|PROPN|,|[]|,|ADJ|,|1|,|1)|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|foglaltak|,|foglaltak|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Országgyűlés|,|Országgyűlés|
False,|ADJ|,|VERB|,|ADJ|,|ADJ|,|2022.|,|2022.|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|24e|,|24e|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|és|,|és|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|valamint|,|valamint|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Országgyűlés|,|Országgyűlés|
False,|NOUN|,|PROPN|,|[]|,|ADJ|,|Elsőként|,|Elsőként|
False,|PROPN|,|PROPN|,|[]|,|PROPN|,|Ungár|,|Ungár|
False,|NOUN|,|ADJ|,|NOUN|,|ADJ|,|frakcióvezető|,|frakcióvezető|
False,|PROPN|,|PROPN|,|[]|,|PROPN|,|LMP|,|LMP|
False,|NOUN|,|NOUN|,|NOUN|,|ADP|,|részéről|,|részéről|
False,|PROPN|,|PROPN|,|[]|,|PROPN|,|UNGÁR|,|UNGÁR|
False,|PROPN|,|PROPN|,|[]|,|PROPN|,|LMP|,|LMP|
False,|NOUN|,|NOUN|,|[]|,|ADJ|,|Tisztelt|,|Tisztelt|
False,|PROPN|,|PROPN|,|[]|,|NOUN|,|Országgyűlés|,|Országgyűlés|
False,|NOUN|,|NOUN|,|[]|,|PROPN|,|EU-integráció|,|EU-integráció|
False,|AUX|,|AUX|,|[]|,|VERB|,|volt|,|volt|
False,|DET|,|DET|,|[]|,|NUM|,|sok|,|sok|
False,|VERB|,|VERB|,|VERB|,|ADJ|,|kialakult|,|kialakult|
False,|ADJ|,|ADJ|,|[]|,|PRON|,|olyan|,|olyan|
False,|DET|,|DET|,|[]|,|NUM|,|több|,|több|
False,|ADJ|,|ADJ|,|ADJ|,|NOUN|,|neoliberális|,|neoliberális|
False,|CCONJ|,|CCONJ|,|CCONJ|,|CONJ|,|de|,|de|
False,|DET|,|NUM|,|[]|,|NUM|,|keveset|,|keveset|
