huspacy == emagyar,huspacy,emagyar
True,|ELNÖK|,|ELNÖK|
True,|:|,|:|
True,|(|,|(|
True,|A|,|A|
True,|teremben|,|teremben|
True,|lévők|,|lévők|
True,|felállnak|,|felállnak|
True,"|,|","|,|"
True,|és|,|és|
True,|ezzel|,|ezzel|
True,|köszöntik|,|köszöntik|
True,|a|,|a|
True,|választópolgárok|,|választópolgárok|
True,|közösségét|,|közösségét|
True,|.|,|.|
True,|Amikor|,|Amikor|
True,|az|,|az|
True,|ülést|,|ülést|
True,|vezető|,|vezető|
True,|elnök|,|elnök|
True,|helyet|,|helyet|
True,|foglal|,|foglal|
True,"|,|","|,|"
True,|a|,|a|
True,|teremben|,|teremben|
True,|lévők|,|lévők|
True,|is|,|is|
False,|leülnek|,|leülnek.|
huspacy,|.|,
True,|)|,|)|
True,|Tisztelt|,|Tisztelt|
True,|Képviselőtársaim|,|Képviselőtársaim|
True,|!|,|!|
True,|Az|,|Az|
True,|Országgyűlés|,|Országgyűlés|
True,|nyári|,|nyári|
True,|rendkívüli|,|rendkívüli|
True,|ülésének|,|ülésének|
True,|1.|,|1.|
True,|ülésnapját|,|ülésnapját|
True,|megnyitom|,|megnyitom|
True,|.|,|.|
True,|Tájékoztatom|,|Tájékoztatom|
True,|önöket|,|önöket|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|az|,|az|
True,|ülés|,|ülés|
True,|vezetésében|,|vezetésében|
True,|Szűcs|,|Szűcs|
True,|Lajos|,|Lajos|
True,|és|,|és|
True,|Hiszékeny|,|Hiszékeny|
True,|Dezső|,|Dezső|
True,|jegyző|,|jegyző|
True,|urak|,|urak|
True,|lesznek|,|lesznek|
True,|segítségemre|,|segítségemre|
True,|.|,|.|
True,|Köszöntök|,|Köszöntök|
True,|mindenkit|,|mindenkit|
True,"|,|","|,|"
True,|aki|,|aki|
True,|figyelemmel|,|figyelemmel|
True,|kíséri|,|kíséri|
True,|munkánkat|,|munkánkat|
True,|.|,|.|
True,|Tisztelt|,|Tisztelt|
True,|Ház|,|Ház|
True,|!|,|!|
True,|Tájékoztatom|,|Tájékoztatom|
True,|önöket|,|önöket|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|a|,|a|
True,|kormány|,|kormány|
True,|az|,|az|
True,|Országgyűlésről|,|Országgyűlésről|
True,|szóló|,|szóló|
True,|törvény|,|törvény|
True,|35.|,|35.|
True,|§|,|§|
True,|(|,|(|
False,|1|,|1)|
huspacy,|)|,
True,|bekezdésében|,|bekezdésében|
True,|foglaltak|,|foglaltak|
True,|alapján|,|alapján|
True,|az|,|az|
True,|Országgyűlés|,|Országgyűlés|
True,|rendkívüli|,|rendkívüli|
True,|ülésének|,|ülésének|
True,|összehívását|,|összehívását|
True,|kezdeményezte|,|kezdeményezte|
True,|2022.|,|2022.|
True,|június|,|június|
True,|20-a|,|20-a|
True,|és|,|és|
True,|június|,|június|
True,|24e|,|24e|
True,|közötti|,|közötti|
True,|időre|,|időre|
True,|.|,|.|
True,|A|,|A|
True,|levelet|,|levelet|
True,|és|,|és|
True,|annak|,|annak|
True,|mellékletét|,|mellékletét|
True,"|,|","|,|"
True,|valamint|,|valamint|
True,|a|,|a|
True,|Fidesz|,|Fidesz|
True,|képviselőcsoportjának|,|képviselőcsoportjának|
True,|indítványát|,|indítványát|
True,|a|,|a|
True,|rendkívüli|,|rendkívüli|
True,|ülés|,|ülés|
True,|napirendi|,|napirendi|
True,|javaslatának|,|javaslatának|
True,|kiegészítésére|,|kiegészítésére|
True,|vonatkozóan|,|vonatkozóan|
True,|a|,|a|
True,|honlapon|,|honlapon|
True,|megismerhették|,|megismerhették|
True,|.|,|.|
True,|Tisztelt|,|Tisztelt|
True,|Országgyűlés|,|Országgyűlés|
True,|!|,|!|
True,|Most|,|Most|
True,|a|,|a|
True,|napirend|,|napirend|
True,|előtti|,|előtti|
True,|hozzászólásokra|,|hozzászólásokra|
True,|kerül|,|kerül|
True,|sor|,|sor|
True,|.|,|.|
True,|Elsőként|,|Elsőként|
True,|Ungár|,|Ungár|
True,|Péter|,|Péter|
True,|frakcióvezető|,|frakcióvezető|
True,|úrnak|,|úrnak|
True,|adom|,|adom|
True,|meg|,|meg|
True,|a|,|a|
True,|szót|,|szót|
True,"|,|","|,|"
True,|az|,|az|
True,|LMP|,|LMP|
True,|részéről|,|részéről|
True,|.|,|.|
True,|Parancsoljon|,|Parancsoljon|
True,|!|,|!|
True,|UNGÁR|,|UNGÁR|
True,|PÉTER|,|PÉTER|
True,|(|,|(|
True,|LMP|,|LMP|
True,|):|,|):|
True,|Köszönöm|,|Köszönöm|
True,|a|,|a|
True,|szót|,|szót|
True,|.|,|.|
True,|Tisztelt|,|Tisztelt|
True,|Országgyűlés|,|Országgyűlés|
True,|!|,|!|
True,|Összességében|,|Összességében|
True,|az|,|az|
True,|1990|,|1990|
True,|óta|,|óta|
True,|tartó|,|tartó|
True,|folyamat|,|folyamat|
True,"|,|","|,|"
True,|amely|,|amely|
True,|az|,|az|
True,|EU-integráció|,|EU-integráció|
True,|folyamata|,|folyamata|
True,|volt|,|volt|
True,"|,|","|,|"
True,|nagyon|,|nagyon|
True,|sok|,|sok|
True,|előnnyel|,|előnnyel|
True,|járt|,|járt|
True,|Magyarország|,|Magyarország|
True,|számára|,|számára|
True,"|,|","|,|"
True,|a|,|a|
True,|tervgazdaság|,|tervgazdaság|
True,|romjain|,|romjain|
True,|kialakult|,|kialakult|
True,|egy|,|egy|
True,|olyan|,|olyan|
True,|gazdaság|,|gazdaság|
True,"|,|","|,|"
True,|amelyben|,|amelyben|
True,|több|,|több|
True,|szabadsága|,|szabadsága|
True,|van|,|van|
True,|az|,|az|
True,|embereknek|,|embereknek|
True,|.|,|.|
True,|A|,|A|
True,|helyzet|,|helyzet|
True,|az|,|az|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|az|,|az|
True,|elmúlt|,|elmúlt|
True,|12|,|12|
True,|év|,|év|
True,|tulajdonképpen|,|tulajdonképpen|
True,|arról|,|arról|
True,|szólt|,|szólt|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|a|,|a|
True,|nemzetközi|,|nemzetközi|
True,|neoliberális|,|neoliberális|
True,|gazdasági|,|gazdasági|
True,|rendszerbe|,|rendszerbe|
True,|sikeresen|,|sikeresen|
True,|betagozódjon|,|betagozódjon|
True,|az|,|az|
True,|ország|,|ország|
True,"|,|","|,|"
True,|de|,|de|
True,|nagyon|,|nagyon|
True,|keveset|,|keveset|
True,|beszéltünk|,|beszéltünk|
True,|azokról|,|azokról|
True,|a|,|a|
True,|hátrányokról|,|hátrányokról|
True,"|,|","|,|"
True,|amelyeket|,|amelyeket|
True,|ez|,|ez|
True,|az|,|az|
True,|elmúlt|,|elmúlt|
True,|30|,|30|
True,|év|,|év|
True,|okozott|,|okozott|
True,|.|,|.|
True,|A|,|A|
True,|magyar|,|magyar|
True,|feldolgozóipar|,|feldolgozóipar|
True,|megszűnt|,|megszűnt|
True,"|,|","|,|"
True,|és|,|és|
True,|az|,|az|
True,|agyelszívás|,|agyelszívás|
True,|miatt|,|miatt|
True,|tulajdonképpen|,|tulajdonképpen|
True,|olyan|,|olyan|
True,|embereket|,|embereket|
True,|képzünk|,|képzünk|
True,"|,|","|,|"
True,|akik|,|akik|
True,|a|,|a|
True,|nyugati|,|nyugati|
True,|bérelőny|,|bérelőny|
True,|miatt|,|miatt|
True,|nem|,|nem|
True,|tudják|,|tudják|
True,|megtalálni|,|megtalálni|
True,|Magyarországon|,|Magyarországon|
True,|a|,|a|
True,|számításukat|,|számításukat|
True,|.|,|.|
True,|Thomas|,|Thomas|
True,|Piketty|,|Piketty|
True,|közgazdász|,|közgazdász|
True,|azt|,|azt|
True,|mondta|,|mondta|
True,"|,|","|,|"
True,|azt|,|azt|
True,|számolta|,|számolta|
True,|ki|,|ki|
True,|nemrég|,|nemrég|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|amennyi|,|amennyi|
True,|pénzt|,|pénzt|
True,|Magyarország|,|Magyarország|
True,|kap|,|kap|
True,|az|,|az|
True,|Európai|,|Európai|
True,|Uniótól|,|Uniótól|
True,|támogatásként|,|támogatásként|
True,"|,|","|,|"
True,|annyi|,|annyi|
True,|pénzt|,|pénzt|
True,|ki|,|ki|
True,|is|,|is|
True,|visznek|,|visznek|
True,|a|,|a|
True,|nyugati|,|nyugati|
True,|cégek|,|cégek|
True,|profitként|,|profitként|
True,|.|,|.|
True,|Tulajdonképpen|,|Tulajdonképpen|
True,|ez|,|ez|
True,|az|,|az|
True,|egyenleg|,|egyenleg|
True,|nullszaldós|,|nullszaldós|
True,|.|,|.|
True,|A|,|A|
True,|helyzet|,|helyzet|
True,|az|,|az|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|Magyarország|,|Magyarország|
True,|rá|,|rá|
True,|volt|,|volt|
True,|kényszerítve|,|kényszerítve|
True,|’|,|’|
True,|90|,|90|
True,|óta|,|óta|
True,|arra|,|arra|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|kiárusítsa|,|kiárusítsa|
True,|az|,|az|
True,|állami|,|állami|
True,|vagyont|,|vagyont|
True,|nyugat-európaiaknak|,|nyugat-európaiaknak|
True,"|,|","|,|"
True,|beengedje|,|beengedje|
True,|a|,|a|
True,|nyugati|,|nyugati|
True,|cégeket|,|cégeket|
True,"|,|","|,|"
True,|és|,|és|
True,|hogy|,|hogy|
True,|megnyissa|,|megnyissa|
True,|a|,|a|
True,|határait|,|határait|
True,|a|,|a|
True,|külföldi|,|külföldi|
True,|áruk|,|áruk|
True,|és|,|és|
True,|a|,|a|
True,|külföldi|,|külföldi|
True,|tőke|,|tőke|
True,|előtt|,|előtt|
True,|.|,|.|
True,|A|,|A|
True,|probléma|,|probléma|
True,|az|,|az|
True,"|,|","|,|"
True,|hogy|,|hogy|
True,|ennek|,|ennek|
True,|a|,|a|
True,|folyamatnak|,|folyamatnak|
True,|a|,|a|
True,|korlátozása|,|korlátozása|
True,|nem|,|nem|
True,|volt|,|volt|
True,|az|,|az|
True,|elmúlt|,|elmúlt|
True,|időszak|,|időszak|
True,|politikájának|,|politikájának|
True,|homlokterében|,|homlokterében|
True,|.|,|.|
True,|Mi|,|Mi|
True,"|,|","|,|"
True,|zöldek|,|zöldek|
True,|azt|,|azt|
